mission_id,title,description,required_seniority,required_location,required_languages,required_skills,sector,desired_start_in_days,duration_months,max_daily_rate,priority,created_at
1,Developer React C# pour telecom,"Recherche Developer React pour un client telecom dans un contexte de transformation digital. Competences attendues: C#, FastAPI, Java, SQL, Salesforce. Demarrage souhaite dans 15 jours, duree 12 mois. Niveau requis: Junior. Langue requise: Anglais. Localisation: Remote. Budget max: 650 EUR/jour.",Junior,Remote,Anglais,C# | FastAPI | Java | SQL | Salesforce,Telecom,15,12,650,High,2025-08-17T02:17:31+00:00
2,Developer React C# pour retail,"Recherche Developer React pour un client retail dans un contexte de transformation digital. Competences attendues: C#, Docker, Java, Python, Spark. Demarrage souhaite dans 15 jours, duree 11 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Remote. Budget max: 895 EUR/jour.",Confirmed,Remote,Bilingue,C# | Docker | Java | Python | Spark,Retail,15,11,895,High,2025-09-21T02:17:31+00:00
3,Consultant Cyber IAM AWS pour public,"Recherche Consultant Cyber IAM pour un client public dans un contexte de transformation cyber. Competences attendues: AWS, DevOps, Python, SIEM. Demarrage souhaite dans 0 jours, duree 3 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Paris. Budget max: 969 EUR/jour.",Confirmed,Paris,Francais,AWS | DevOps | Python | SIEM,Public,0,3,969,Medium,2026-03-05T02:17:31+00:00
4,Tech Lead Digital Docker pour public,"Recherche Tech Lead Digital pour un client public dans un contexte de transformation digital. Competences attendues: Docker, FastAPI, Java, NLP, Python, React. Demarrage souhaite dans 30 jours, duree 13 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Remote. Budget max: 941 EUR/jour.",Confirmed,Remote,Francais,Docker | FastAPI | Java | NLP | Python | React,Public,30,13,941,Low,2025-11-07T02:17:31+00:00
5,Developer React C# pour banque,"Recherche Developer React pour un client banque dans un contexte de transformation digital. Competences attendues: C#, FastAPI, NLP, React, Tableau. Demarrage souhaite dans 30 jours, duree 16 mois. Niveau requis: Senior. Langue requise: Francais. Localisation: Lyon. Budget max: 1272 EUR/jour.",Senior,Lyon,Francais,C# | FastAPI | NLP | React | Tableau,Banque,30,16,1272,High,2026-03-09T02:17:31+00:00
6,Architecte Cloud Azure pour banque,"Recherche Architecte Cloud pour un client banque dans un contexte de transformation cloud. Competences attendues: Azure, DevOps, Docker, Spark. Demarrage souhaite dans 15 jours, duree 14 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Bruxelles. Budget max: 964 EUR/jour.",Confirmed,Bruxelles,Bilingue,Azure | DevOps | Docker | Spark,Banque,15,14,964,High,2025-10-02T02:17:31+00:00
7,Cloud Engineer AWS pour public,"Recherche Cloud Engineer pour un client public dans un contexte de transformation cloud. Competences attendues: AWS, DevOps, Kubernetes, NLP, Terraform. Demarrage souhaite dans 30 jours, duree 18 mois. Niveau requis: Confirmed. Langue requise: Anglais. Localisation: Toulouse. Budget max: 916 EUR/jour.",Confirmed,Toulouse,Anglais,AWS | DevOps | Kubernetes | NLP | Terraform,Public,30,18,916,Medium,2025-11-21T02:17:31+00:00
8,Expert SIEM Azure pour public,"Recherche Expert SIEM pour un client public dans un contexte de transformation cyber. Competences attendues: Azure, Docker, GCP, Python, SAP, SIEM. Demarrage souhaite dans 30 jours, duree 4 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Remote. Budget max: 904 EUR/jour.",Confirmed,Remote,Bilingue,Azure | Docker | GCP | Python | SAP | SIEM | SQL,Public,30,4,904,Low,2025-11-07T02:17:31+00:00
9,Data Analyst Power BI pour sante,"Recherche Data Analyst pour un client sante dans un contexte de transformation data / ia. Competences attendues: Power BI, SOC, SQL, Salesforce, Spark, Tableau. Demarrage souhaite dans 0 jours, duree 6 mois. Niveau requis: Expert. Langue requise: Bilingue. Localisation: Remote. Budget max: 1378 EUR/jour.",Expert,Remote,Bilingue,Power BI | SOC | SQL | Salesforce | Spark | Tableau | dbt,Sante,0,6,1378,High,2025-10-12T02:17:31+00:00
10,Lead Data Scientist Azure pour assurance,"Recherche Lead Data Scientist pour un client assurance dans un contexte de transformation data / ia. Competences attendues: Azure, SQL, Snowflake, Spark, dbt. Demarrage souhaite dans 0 jours, duree 5 mois. Niveau requis: Confirmed. Langue requise: Anglais. Localisation: Remote. Budget max: 844 EUR/jour.",Confirmed,Remote,Anglais,Azure | SQL | Snowflake | Spark | dbt,Assurance,0,5,844,Medium,2026-01-14T02:17:31+00:00
11,Data Engineer FastAPI pour public,"Recherche Data Engineer pour un client public dans un contexte de transformation data / ia. Competences attendues: FastAPI, MLOps, Power BI, Salesforce, Snowflake. Demarrage souhaite dans 60 jours, duree 7 mois. Niveau requis: Senior. Langue requise: Francais. Localisation: Remote. Budget max: 1287 EUR/jour.",Senior,Remote,Francais,FastAPI | MLOps | Power BI | Salesforce | Snowflake,Public,60,7,1287,High,2026-02-09T02:17:31+00:00
12,DevOps Cloud AWS pour assurance,"Recherche DevOps Cloud pour un client assurance dans un contexte de transformation devops. Competences attendues: AWS, C#, DevOps, GCP, Kubernetes, Python. Demarrage souhaite dans 0 jours, duree 5 mois. Niveau requis: Senior. Langue requise: Bilingue. Localisation: Lille. Budget max: 1344 EUR/jour.",Senior,Lille,Bilingue,AWS | C# | DevOps | GCP | Kubernetes | Python | Snowflake,Assurance,0,5,1344,High,2026-03-02T02:17:31+00:00
13,Tech Lead CRM C# pour assurance,"Recherche Tech Lead CRM pour un client assurance dans un contexte de transformation crm. Competences attendues: C#, Power BI, Python, SAP. Demarrage souhaite dans 60 jours, duree 11 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Bruxelles. Budget max: 838 EUR/jour.",Confirmed,Bruxelles,Francais,C# | Power BI | Python | SAP,Assurance,60,11,838,Medium,2025-10-06T02:17:31+00:00
14,Architecte Cloud Azure pour public,"Recherche Architecte Cloud pour un client public dans un contexte de transformation cloud. Competences attendues: Azure, DevOps, GCP, IAM, Python, Terraform. Demarrage souhaite dans 0 jours, duree 7 mois. Niveau requis: Junior. Langue requise: Francais. Localisation: Toulouse. Budget max: 731 EUR/jour.",Junior,Toulouse,Francais,Azure | DevOps | GCP | IAM | Python | Terraform | dbt,Public,0,7,731,Medium,2026-01-27T02:17:31+00:00
15,Chef de projet ERP Airflow pour banque,"Recherche Chef de projet ERP pour un client banque dans un contexte de transformation erp. Competences attendues: Airflow, Azure, Power BI, Python, SQL. Demarrage souhaite dans 60 jours, duree 15 mois. Niveau requis: Senior. Langue requise: Francais. Localisation: Lyon. Budget max: 1213 EUR/jour.",Senior,Lyon,Francais,Airflow | Azure | Power BI | Python | SQL,Banque,60,15,1213,Medium,2026-02-20T02:17:31+00:00
16,DevOps Cloud AWS pour industrie,"Recherche DevOps Cloud pour un client industrie dans un contexte de transformation devops. Competences attendues: AWS, Azure, DevOps, SQL. Demarrage souhaite dans 0 jours, duree 15 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Toulouse. Budget max: 910 EUR/jour.",Confirmed,Toulouse,Francais,AWS | Azure | DevOps | SQL,Industrie,0,15,910,High,2026-03-30T02:17:31+00:00
17,Consultant Azure AWS pour retail,"Recherche Consultant Azure pour un client retail dans un contexte de transformation cloud. Competences attendues: AWS, Docker, Python, SOC, Salesforce. Demarrage souhaite dans 15 jours, duree 11 mois. Niveau requis: Expert. Langue requise: Bilingue. Localisation: Toulouse. Budget max: 1469 EUR/jour.",Expert,Toulouse,Bilingue,AWS | Docker | Python | SOC | Salesforce,Retail,15,11,1469,High,2025-09-02T02:17:31+00:00
18,Platform Engineer DevOps pour retail,"Recherche Platform Engineer pour un client retail dans un contexte de transformation devops. Competences attendues: DevOps, Docker, GCP, Kubernetes, Spark, Terraform. Demarrage souhaite dans 30 jours, duree 13 mois. Niveau requis: Senior. Langue requise: Bilingue. Localisation: Lyon. Budget max: 1095 EUR/jour.",Senior,Lyon,Bilingue,DevOps | Docker | GCP | Kubernetes | Spark | Terraform,Retail,30,13,1095,High,2025-11-12T02:17:31+00:00
19,ML Engineer Airflow pour energie,"Recherche ML Engineer pour un client energie dans un contexte de transformation data / ia. Competences attendues: Airflow, NLP, Tableau, Terraform. Demarrage souhaite dans 30 jours, duree 7 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Toulouse. Budget max: 869 EUR/jour.",Confirmed,Toulouse,Francais,Airflow | NLP | Tableau | Terraform,Energie,30,7,869,Medium,2025-08-13T02:17:31+00:00
20,Consultant Cyber IAM AWS pour industrie,"Recherche Consultant Cyber IAM pour un client industrie dans un contexte de transformation cyber. Competences attendues: AWS, Azure, Python, SIEM, SQL, Terraform. Demarrage souhaite dans 30 jours, duree 4 mois. Niveau requis: Confirmed. Langue requise: Anglais. Localisation: Bruxelles. Budget max: 993 EUR/jour.",Confirmed,Bruxelles,Anglais,AWS | Azure | Python | SIEM | SQL | Terraform,Industrie,30,4,993,High,2025-10-03T02:17:31+00:00
21,Lead Data Scientist Airflow pour industrie,"Recherche Lead Data Scientist pour un client industrie dans un contexte de transformation data / ia. Competences attendues: Airflow, C#, FastAPI, Java, Snowflake, Spark. Demarrage souhaite dans 30 jours, duree 3 mois. Niveau requis: Senior. Langue requise: Francais. Localisation: Lyon. Budget max: 1036 EUR/jour.",Senior,Lyon,Francais,Airflow | C# | FastAPI | Java | Snowflake | Spark | dbt,Industrie,30,3,1036,Medium,2025-09-23T02:17:31+00:00
22,Consultant Azure AWS pour sante,"Recherche Consultant Azure pour un client sante dans un contexte de transformation cloud. Competences attendues: AWS, Azure, GCP, Python, Terraform, dbt. Demarrage souhaite dans 30 jours, duree 10 mois. Niveau requis: Senior. Langue requise: Francais. Localisation: Paris. Budget max: 1146 EUR/jour.",Senior,Paris,Francais,AWS | Azure | GCP | Python | Terraform | dbt,Sante,30,10,1146,Medium,2025-08-26T02:17:31+00:00
23,Consultant AWS AWS pour industrie,"Recherche Consultant AWS pour un client industrie dans un contexte de transformation cloud. Competences attendues: AWS, DevOps, GCP, SIEM, Spark, Terraform. Demarrage souhaite dans 15 jours, duree 12 mois. Niveau requis: Expert. Langue requise: Francais. Localisation: Lyon. Budget max: 1532 EUR/jour.",Expert,Lyon,Francais,AWS | DevOps | GCP | SIEM | Spark | Terraform,Industrie,15,12,1532,Medium,2025-12-09T02:17:31+00:00
24,Consultant Azure AWS pour telecom,"Recherche Consultant Azure pour un client telecom dans un contexte de transformation cloud. Competences attendues: AWS, Azure, Docker, Kubernetes, Python, React. Demarrage souhaite dans 30 jours, duree 12 mois. Niveau requis: Junior. Langue requise: Francais. Localisation: Remote. Budget max: 739 EUR/jour.",Junior,Remote,Francais,AWS | Azure | Docker | Kubernetes | Python | React,Telecom,30,12,739,Medium,2025-11-26T02:17:31+00:00
25,Architecte Cyber AWS pour telecom,"Recherche Architecte Cyber pour un client telecom dans un contexte de transformation cyber. Competences attendues: AWS, C#, IAM, SIEM. Demarrage souhaite dans 30 jours, duree 7 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Lyon. Budget max: 842 EUR/jour.",Confirmed,Lyon,Francais,AWS | C# | IAM | SIEM,Telecom,30,7,842,Medium,2025-11-06T02:17:31+00:00
26,SRE Azure pour public,"Recherche SRE pour un client public dans un contexte de transformation devops. Competences attendues: Azure, Docker, GCP, Java. Demarrage souhaite dans 15 jours, duree 14 mois. Niveau requis: Junior. Langue requise: Anglais. Localisation: Remote. Budget max: 647 EUR/jour.",Junior,Remote,Anglais,Azure | Docker | GCP | Java,Public,15,14,647,Low,2025-11-09T02:17:31+00:00
27,Product Analyst FastAPI pour sante,"Recherche Product Analyst pour un client sante dans un contexte de transformation digital. Competences attendues: FastAPI, Java, Python, React, SAP, Tableau. Demarrage souhaite dans 15 jours, duree 14 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Remote. Budget max: 791 EUR/jour.",Confirmed,Remote,Bilingue,FastAPI | Java | Python | React | SAP | Tableau,Sante,15,14,791,High,2026-01-26T02:17:31+00:00
28,Architecte Cloud AWS pour assurance,"Recherche Architecte Cloud pour un client assurance dans un contexte de transformation cloud. Competences attendues: AWS, Azure, Docker, GCP, Python, Snowflake. Demarrage souhaite dans 15 jours, duree 10 mois. Niveau requis: Senior. Langue requise: Bilingue. Localisation: Paris. Budget max: 1139 EUR/jour.",Senior,Paris,Bilingue,AWS | Azure | Docker | GCP | Python | Snowflake,Assurance,15,10,1139,Medium,2025-08-15T02:17:31+00:00
29,Lead Data Scientist Databricks pour sante,"Recherche Lead Data Scientist pour un client sante dans un contexte de transformation data / ia. Competences attendues: Databricks, FastAPI, IAM, NLP, Python, Tableau. Demarrage souhaite dans 30 jours, duree 15 mois. Niveau requis: Senior. Langue requise: Anglais. Localisation: Paris. Budget max: 1109 EUR/jour.",Senior,Paris,Anglais,Databricks | FastAPI | IAM | NLP | Python | Tableau | dbt,Sante,30,15,1109,Medium,2025-11-19T02:17:31+00:00
30,Expert ERP Airflow pour public,"Recherche Expert ERP pour un client public dans un contexte de transformation erp. Competences attendues: Airflow, Azure, Power BI, Python, SQL, Snowflake. Demarrage souhaite dans 60 jours, duree 12 mois. Niveau requis: Senior. Langue requise: Anglais. Localisation: Lille. Budget max: 1051 EUR/jour.",Senior,Lille,Anglais,Airflow | Azure | Power BI | Python | SQL | Snowflake,Public,60,12,1051,Medium,2025-08-27T02:17:31+00:00
31,Platform Engineer AWS pour energie,"Recherche Platform Engineer pour un client energie dans un contexte de transformation devops. Competences attendues: AWS, DevOps, Docker, GCP, Kubernetes, React. Demarrage souhaite dans 15 jours, duree 12 mois. Niveau requis: Senior. Langue requise: Anglais. Localisation: Montreal. Budget max: 1339 EUR/jour.",Senior,Montreal,Anglais,AWS | DevOps | Docker | GCP | Kubernetes | React | SQL,Energie,15,12,1339,High,2026-03-20T02:17:31+00:00
32,Consultant Digital Docker pour banque,"Recherche Consultant Digital pour un client banque dans un contexte de transformation digital. Competences attendues: Docker, MLOps, Python, React, SQL. Demarrage souhaite dans 30 jours, duree 3 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Bruxelles. Budget max: 875 EUR/jour.",Confirmed,Bruxelles,Francais,Docker | MLOps | Python | React | SQL,Banque,30,3,875,Medium,2026-03-31T02:17:31+00:00
33,Tech Lead Digital Databricks pour public,"Recherche Tech Lead Digital pour un client public dans un contexte de transformation digital. Competences attendues: Databricks, FastAPI, Python, SQL, Snowflake. Demarrage souhaite dans 0 jours, duree 12 mois. Niveau requis: Junior. Langue requise: Francais. Localisation: Paris. Budget max: 662 EUR/jour.",Junior,Paris,Francais,Databricks | FastAPI | Python | SQL | Snowflake,Public,0,12,662,High,2025-12-20T02:17:31+00:00
34,Consultant Azure AWS pour assurance,"Recherche Consultant Azure pour un client assurance dans un contexte de transformation cloud. Competences attendues: AWS, Kubernetes, SQL, Terraform. Demarrage souhaite dans 60 jours, duree 15 mois. Niveau requis: Senior. Langue requise: Anglais. Localisation: Paris. Budget max: 1114 EUR/jour.",Senior,Paris,Anglais,AWS | Kubernetes | SQL | Terraform,Assurance,60,15,1114,Medium,2026-02-09T02:17:31+00:00
35,DevOps Cloud FastAPI pour industrie,"Recherche DevOps Cloud pour un client industrie dans un contexte de transformation devops. Competences attendues: FastAPI, GCP, Kubernetes, Python, Terraform. Demarrage souhaite dans 30 jours, duree 12 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Montreal. Budget max: 902 EUR/jour.",Confirmed,Montreal,Francais,FastAPI | GCP | Kubernetes | Python | Terraform,Industrie,30,12,902,Low,2026-02-27T02:17:31+00:00
36,Expert ERP GCP pour sante,"Recherche Expert ERP pour un client sante dans un contexte de transformation erp. Competences attendues: GCP, SAP, SQL, Snowflake. Demarrage souhaite dans 0 jours, duree 10 mois. Niveau requis: Senior. Langue requise: Anglais. Localisation: Lyon. Budget max: 1276 EUR/jour.",Senior,Lyon,Anglais,GCP | SAP | SQL | Snowflake,Sante,0,10,1276,High,2026-02-25T02:17:31+00:00
37,Consultant CRM C# pour energie,"Recherche Consultant CRM pour un client energie dans un contexte de transformation crm. Competences attendues: C#, DevOps, Java, Python, SQL, dbt. Demarrage souhaite dans 30 jours, duree 11 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Bruxelles. Budget max: 912 EUR/jour.",Confirmed,Bruxelles,Bilingue,C# | DevOps | Java | Python | SQL | dbt,Energie,30,11,912,Medium,2025-08-11T02:17:31+00:00
38,DevOps Cloud AWS pour public,"Recherche DevOps Cloud pour un client public dans un contexte de transformation devops. Competences attendues: AWS, Azure, Docker, GCP, Python, Spark. Demarrage souhaite dans 15 jours, duree 6 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Remote. Budget max: 819 EUR/jour.",Confirmed,Remote,Bilingue,AWS | Azure | Docker | GCP | Python | Spark,Public,15,6,819,Medium,2026-02-20T02:17:31+00:00
