mission_id,profile_id,structured_score,semantic_score,business_score,final_score,explanation_tags
1,260,0.92,0.1292,0.84,0.5877,C# match | FastAPI match | Java match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector telecom | Domain aligned
1,124,0.836,0.1702,0.8956,0.5816,C# match | FastAPI match | Java match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector telecom | Domain aligned
1,263,0.8235,0.1722,0.7725,0.5528,FastAPI match | Java match | SQL match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector telecom | Domain aligned
1,303,0.97,0.1359,0.55,0.5523,C# match | FastAPI match | Java match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
1,274,0.9235,0.1734,0.55,0.5488,C# match | FastAPI match | Java match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
1,180,0.97,0.0764,0.65,0.5485,C# match | Java match | Salesforce match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector telecom
1,31,0.97,0.1253,0.55,0.5481,C# match | SQL match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
1,87,0.92,0.2019,0.49,0.5468,C# match | FastAPI match | Java match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
1,336,0.866,0.0847,0.7543,0.5311,C# match | Java match | SQL match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector telecom | Domain aligned
1,112,0.841,0.1369,0.6599,0.5231,C# match | Java match | SQL match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector telecom
2,258,0.886,0.1386,0.9267,0.5952,C# match | Docker match | Java match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector retail | Domain aligned
2,274,0.87,0.1443,0.8667,0.579,C# match | Java match | Python match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Sector retail | Domain aligned
2,92,0.97,0.0998,0.75,0.5779,Docker match | Python match | Spark match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector retail
2,3,0.83,0.1526,0.7533,0.5437,C# match | Docker match | Java match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector retail | Domain aligned
