mission_id,profile_id,structured_score_true,semantic_score_true,business_score_true,final_score_true,label
1,1,0.6724,0.0901,0.0978,0.3245,0
1,2,0.6359,0.1617,0.0983,0.3387,0
1,3,0.8003,0.2052,0.4505,0.4923,1
1,4,0.9223,0.0271,0.4312,0.466,1
1,5,0.7753,0.0,0.0576,0.3216,0
1,6,0.3996,0.0401,0.0505,0.186,0
1,7,0.6834,0.0429,0.0003,0.2906,0
1,8,1.0,0.0554,0.104,0.4429,1
1,9,0.8881,0.1243,0.3842,0.4818,1
1,10,0.4303,0.0215,0.0,0.1807,0
1,11,0.6837,0.0078,0.0,0.2766,0
1,12,0.4142,0.0,0.136,0.1929,0
1,13,0.3968,0.0722,0.0355,0.1947,0
1,14,0.7113,0.0433,0.0411,0.31,0
1,15,0.6553,0.0157,0.1176,0.2919,0
1,16,0.9274,0.0449,0.4584,0.4806,1
1,17,0.6734,0.0163,0.0,0.2759,0
1,18,0.666,0.1837,0.4913,0.4381,1
1,19,0.6705,0.0088,0.231,0.3179,0
1,20,0.8632,0.0166,0.1559,0.3831,0
1,21,0.4078,0.0186,0.0617,0.1829,0
1,22,0.6086,0.0587,0.1676,0.3005,0
1,23,0.387,0.0,0.1917,0.1932,0
1,24,0.618,0.0672,0.344,0.3429,0
1,25,0.7166,0.0249,0.0,0.2966,0
1,26,0.6655,0.0088,0.0001,0.2697,0
1,27,0.6751,0.1238,0.2418,0.3679,0
1,28,0.6399,0.2268,0.5385,0.4544,1
1,29,0.6448,0.0059,0.2727,0.3148,0
1,30,0.6089,0.1198,0.346,0.3607,0
1,31,0.9765,0.0858,0.5206,0.5291,2
1,32,0.5747,0.0474,0.0037,0.2496,0
1,33,0.5244,0.0298,0.0,0.2217,0
1,34,0.5529,0.0811,0.0308,0.2598,0
1,35,0.8674,0.0832,0.0,0.3802,0
1,36,0.729,0.0,0.2367,0.3389,0
1,37,0.5857,0.0408,0.0138,0.2534,0
1,38,0.7768,0.0235,0.4813,0.4164,0
1,39,0.7392,0.0681,0.3266,0.3882,0
1,40,0.6154,0.0464,0.0525,0.2753,0
1,41,0.6902,0.0426,0.1133,0.3158,0
1,42,0.6444,0.161,0.194,0.361,0
1,43,0.7232,0.016,0.2588,0.3474,0
1,44,0.7346,0.0101,0.0,0.2979,0
1,45,0.9017,0.0105,0.0411,0.3731,0
1,46,0.7347,0.0644,0.4776,0.4151,0
1,47,0.7218,0.1544,0.7165,0.4938,1
1,48,0.8034,0.0,0.1451,0.3504,0
1,49,0.4858,0.0,0.0,0.1943,0
1,50,0.4255,0.0,0.0176,0.1737,0
1,51,0.6524,0.0,0.0789,0.2767,0
1,52,0.7009,0.1808,0.1325,0.3792,0
1,53,0.7229,0.0733,0.3415,0.3868,0
1,54,0.7245,0.037,0.0,0.3046,0
1,55,0.7988,0.0269,0.4302,0.4163,0
1,56,0.7769,0.0144,0.1837,0.3533,0
1,57,0.5588,0.0684,0.3576,0.3224,0
1,58,0.6485,0.018,0.1656,0.2997,0
1,59,0.6945,0.0392,0.0098,0.2954,0
1,60,0.7543,0.0206,0.0666,0.3232,0
1,61,0.5807,0.0,0.001,0.2325,0
1,62,0.526,0.0104,0.0,0.2146,0
1,63,0.706,0.0,0.0,0.2824,0
1,64,0.8438,0.0619,0.3067,0.4236,0
1,65,0.7594,0.0006,0.0,0.304,0
1,66,0.7966,0.0392,0.1942,0.3732,0
1,67,0.479,0.0643,0.1209,0.2415,0
1,68,0.4379,0.0456,0.0,0.1934,0
1,69,0.5583,0.0,0.3984,0.303,0
1,70,0.9327,0.0715,0.1765,0.437,1
1,71,0.811,0.0456,0.6214,0.4669,1
1,72,0.6395,0.0,0.0917,0.2741,0
1,73,0.5007,0.0435,0.3134,0.2803,0
1,74,0.6493,0.0,0.2158,0.3029,0
1,75,0.599,0.022,0.3658,0.3215,0
1,76,0.5008,0.0815,0.0015,0.2332,0
1,77,0.5534,0.0,0.0,0.2214,0
1,78,0.8118,0.0138,0.4506,0.4204,0
1,79,0.5235,0.0484,0.3506,0.2989,0
1,80,0.6508,0.0153,0.0945,0.2854,0
1,81,0.4988,0.0791,0.2427,0.2797,0
1,82,0.6676,0.0072,0.3978,0.3495,0
1,83,0.5467,0.0105,0.0905,0.241,0
1,84,0.8196,0.057,0.236,0.3978,0
1,85,0.9556,0.0,0.2306,0.4284,0
1,86,0.6421,0.0363,0.1045,0.2923,0
1,87,0.8617,0.1622,0.5456,0.5187,1
1,88,0.6881,0.0095,0.2626,0.3315,0
1,89,0.6644,0.0746,0.087,0.313,0
1,90,0.8498,0.0147,0.1478,0.3754,0
1,91,0.6147,0.1456,0.1858,0.3413,0
1,92,0.9244,0.0334,0.1919,0.4215,0
1,93,0.6292,0.0493,0.4083,0.353,0
1,94,0.7382,0.0046,0.0,0.2971,0
1,95,0.7806,0.0425,0.2929,0.3878,0
1,96,0.6591,0.0617,0.1242,0.3132,0
1,97,0.5799,0.1621,0.3711,0.371,0
1,98,0.841,0.0789,0.0089,0.3697,0
1,99,0.7341,0.0239,0.0355,0.3103,0
1,100,0.6627,0.0502,0.0,0.2852,0
1,101,0.5085,0.0,0.0292,0.2092,0
1,102,0.7171,0.0473,0.1245,0.3307,0
1,103,0.632,0.0612,0.1281,0.3029,0
