experience_id,profile_id,job_title,client_sector,start_date,end_date,duration_months,experience_skills,experience_summary
1,1,Consultant Salesforce Junior,Industrie,2022-06-12,2023-02-12,8,C# | IAM | Java | Power BI,"Intervention comme consultant salesforce junior pour un client du secteur industrie, avec delivery sur Power BI, C#, Java, IAM."
2,1,CRM Solution Engineer Junior,Assurance,2023-03-07,2023-11-07,8,C# | IAM | Salesforce | Spark,"Intervention comme crm solution engineer junior pour un client du secteur assurance, avec delivery sur C#, Spark, IAM, Salesforce."
3,1,Consultant Salesforce Confirmed,Industrie,2023-11-21,2024-08-21,9,C# | IAM | Power BI | SQL | Salesforce,"Intervention comme consultant salesforce confirmed pour un client du secteur industrie, avec delivery sur IAM, Salesforce, C#, SQL."
4,1,Expert CRM Confirmed,Industrie,2024-09-06,2025-04-06,7,IAM | Java | Power BI | Python | SQL,"Intervention comme expert crm confirmed pour un client du secteur industrie, avec delivery sur Java, SQL, Power BI, IAM."
5,1,Expert CRM Confirmed,Assurance,2025-04-27,2025-12-27,8,Python | SQL | Spark,"Intervention comme expert crm confirmed pour un client du secteur assurance, avec delivery sur Python, Spark, SQL."
6,2,Expert CRM Junior,Industrie,2018-09-23,2019-05-23,8,Java | Python | SQL,"Intervention comme expert crm junior pour un client du secteur industrie, avec delivery sur Python, SQL, Java."
7,2,Consultant Salesforce Confirmed,Industrie,2019-06-15,2020-02-15,8,C# | IAM | Java | Power BI | SQL | Terraform,"Intervention comme consultant salesforce confirmed pour un client du secteur industrie, avec delivery sur C#, IAM, Java, SQL."
8,2,CRM Analyst Senior,Industrie,2020-03-04,2024-02-04,47,Power BI | Python | SQL | Salesforce,"Intervention comme crm analyst senior pour un client du secteur industrie, avec delivery sur Power BI, SQL, Python, Salesforce."
9,2,Consultant Salesforce Senior,Banque,2024-02-18,2025-11-18,21,FastAPI | Power BI | Python,"Intervention comme consultant salesforce senior pour un client du secteur banque, avec delivery sur Power BI, FastAPI, Python."
10,3,Lead Developer Junior,Energie,2022-10-23,2023-07-23,9,Python | Salesforce | dbt,"Intervention comme lead developer junior pour un client du secteur energie, avec delivery sur dbt, Salesforce, Python."
11,3,Product Analyst Junior,Energie,2023-09-05,2024-03-05,6,Docker | Python | Salesforce,"Intervention comme product analyst junior pour un client du secteur energie, avec delivery sur Docker, Python, Salesforce."
12,3,Consultant Digital Confirmed,Retail,2024-04-07,2025-04-07,12,Docker | Python | Tableau | dbt,"Intervention comme consultant digital confirmed pour un client du secteur retail, avec delivery sur Python, dbt, Docker, Tableau."
13,3,Product Analyst Confirmed,Retail,2025-04-26,2026-01-26,9,AWS | Docker | Java | SQL | Tableau | dbt,"Intervention comme product analyst confirmed pour un client du secteur retail, avec delivery sur AWS, Tableau, dbt, Docker."
14,4,Data Analyst Junior,Telecom,2022-06-27,2023-02-27,8,Airflow | Databricks | FastAPI | MLOps | Spark | Tableau,"Intervention comme data analyst junior pour un client du secteur telecom, avec delivery sur Databricks, MLOps, Spark, Tableau."
15,4,Data Scientist Junior,Telecom,2023-04-12,2024-04-12,12,Airflow | Databricks | FastAPI | Python | Tableau | dbt,"Intervention comme data scientist junior pour un client du secteur telecom, avec delivery sur Tableau, FastAPI, dbt, Airflow."
16,4,Data Scientist Junior,Telecom,2024-04-22,2024-12-22,8,Power BI | Python | dbt,"Intervention comme data scientist junior pour un client du secteur telecom, avec delivery sur Python, dbt, Power BI."
17,4,Data Scientist Junior,Telecom,2025-01-26,2025-07-26,6,Databricks | FastAPI | Python | Spark | Tableau,"Intervention comme data scientist junior pour un client du secteur telecom, avec delivery sur Python, Databricks, Spark, Tableau."
18,4,Data Engineer Junior,Telecom,2025-09-01,2026-03-01,6,FastAPI | Power BI | Python | Spark | Tableau,"Intervention comme data engineer junior pour un client du secteur telecom, avec delivery sur Python, Spark, Power BI, Tableau."
19,5,Architecte Cyber Confirmed,Industrie,2015-02-12,2021-05-12,75,C# | GCP | SOC | SQL | Snowflake | Terraform,"Intervention comme architecte cyber confirmed pour un client du secteur industrie, avec delivery sur Snowflake, SQL, Terraform, C#."
20,5,Consultant Cyber Senior,Energie,2021-06-13,2026-03-13,57,GCP | IAM | SQL,"Intervention comme consultant cyber senior pour un client du secteur energie, avec delivery sur GCP, IAM, SQL."
21,6,Architecte Cloud Junior,Public,2021-11-21,2024-11-21,36,AWS | Azure | Docker | GCP | Kubernetes | Terraform,"Intervention comme architecte cloud junior pour un client du secteur public, avec delivery sur GCP, Docker, Terraform, Kubernetes."
22,6,Platform Engineer Confirmed,Public,2024-12-15,2025-12-15,12,Azure | Kubernetes | Python | Terraform,"Intervention comme platform engineer confirmed pour un client du secteur public, avec delivery sur Kubernetes, Azure, Python, Terraform."
23,7,Data Engineer Confirmed,Retail,2008-12-07,2019-02-07,122,Airflow | NLP | Python,"Intervention comme data engineer confirmed pour un client du secteur retail, avec delivery sur Python, NLP, Airflow."
24,7,Data Engineer Senior,Retail,2019-03-19,2021-07-19,28,Airflow | NLP | Python | dbt,"Intervention comme data engineer senior pour un client du secteur retail, avec delivery sur Airflow, NLP, dbt, Python."
25,7,Data Engineer Senior,Retail,2021-08-08,2022-04-08,8,MLOps | Python | dbt,"Intervention comme data engineer senior pour un client du secteur retail, avec delivery sur Python, dbt, MLOps."
26,7,ML Engineer Expert,Retail,2022-04-27,2026-02-27,46,Airflow | MLOps | NLP | Python | dbt,"Intervention comme ml engineer expert pour un client du secteur retail, avec delivery sur Airflow, MLOps, dbt, NLP."
27,8,Consultant Cloud Junior,Energie,2023-04-26,2023-11-26,7,Docker | GCP | IAM | Terraform,"Intervention comme consultant cloud junior pour un client du secteur energie, avec delivery sur GCP, Terraform, IAM, Docker."
28,8,Platform Engineer Junior,Industrie,2023-12-21,2024-09-21,9,AWS | Docker | GCP | Terraform,"Intervention comme platform engineer junior pour un client du secteur industrie, avec delivery sur Docker, AWS, Terraform, GCP."
29,8,Architecte Cloud Junior,Industrie,2024-10-13,2025-07-13,9,AWS | IAM | Terraform,"Intervention comme architecte cloud junior pour un client du secteur industrie, avec delivery sur IAM, AWS, Terraform."
30,8,Consultant Cloud Junior,Industrie,2025-08-13,2026-03-13,7,GCP | IAM | Terraform,"Intervention comme consultant cloud junior pour un client du secteur industrie, avec delivery sur Terraform, GCP, IAM."
